"","x"
"1911",1
"1912",1
"1913",1
"1914",1
"1915",1.11619870309952
"1916",1.2904967577488
"1917",1.23239740619904
"1918",2.5
"1919",2.5
"1920",1.8714902732464
"1921",1.34859610929856
"1922",2.04578832789568
"1923",1.69719221859712
"1924",1
"1925",1.40669546084832
"1926",1.63909286704736
"1927",1.23239740619904
"1928",2.10388767944544
"1929",2.1619870309952
"1930",1.34859610929856
"1931",1.69719221859712
"1932",1.75529157014688
"1933",1.69719221859712
"1934",1.11619870309952
"1935",1.23239740619904
"1936",1.40669546084832
"1937",1.63909286704736
"1938",1.17429805464928
"1939",1.2904967577488
"1940",1.17429805464928
"1941",1
"1942",1
"1943",0.94190064845024
"1944",2.5
"1945",1
"1946",1
"1947",1.34859610929856
"1948",1
"1949",1
"1950",1
"1951",1
"1952",1
"1953",1
"1954",1
"1955",1
"1956",1
"1957",2.04578832789568
"1958",1.52289416394784
"1959",1
"1960",1.8714902732464
"1961",1
"1962",1
"1963",1.75529157014688
"1964",1
"1965",1.5809935154976
"1966",1.05809935154976
"1967",1
"1968",1.23239740619904
"1969",1.75529157014688
"1970",1.34859610929856
"1971",1.17429805464928
"1972",1.63909286704736
"1973",1.5809935154976
"1974",1.23239740619904
"1975",1.5809935154976
"1976",1.8714902732464
"1977",0.24140300087601
"1978",1.94448686263466
"1979",1.55459553175066
"1980",0.0422520307959174
"1981",1.48876721175047
"1982",0.155011165779283
"1983",1.30460231470829
"1984",1.05425710248147
"1985",1.8586575447502
"1986",0.383326547170059
"1987",1.35417318294204
"1988",0.96893525699606
"1989",1.12215941136806
"1990",1.39536605731233
"1991",0.166439256859266
"1992",1.78746453728234
"1993",0.394182817922712
"1994",1.30950575735641
"1995",0.802403506206249
"1996",1.12015962826656
"1997",0.516405279762996
"1998",0.0687707194293142
"1999",0.587321853702749
"2000",0.86537806192165
"2001",0.514759061795158
"2002",1.88882441470052
"2003",0.602116236315407
"2004",1.15508865122906
"2005",1.11551460316278
"2006",0.857853899398047
"2007",1.50350544191901
"2008",1.0139801672972
"2009",2.5
"2010",0.889289534157345
"2011",0.761129221637771
"2012",0.897178724332264
"2013",0.659155585714919
"2014",0.97374348433104
"2015",0.744391425748869
"2016",0.611149415577626
"2017",0.770451692026934
